game_pk,policy,reward,challenges,successes
745716,Q-Learning,-0.02,2,0
745725,Q-Learning,-0.02,2,0
745731,Q-Learning,0.427,4,2
745734,Q-Learning,0.109,4,2
745781,Q-Learning,0.1529999999999999,4,2
745783,Q-Learning,-0.02,2,0
745784,Q-Learning,-0.02,2,0
745791,Q-Learning,-0.02,2,0
745794,Q-Learning,-0.02,2,0
745808,Q-Learning,0.07200000000000001,3,1
745810,Q-Learning,-0.02,2,0
745813,Q-Learning,-0.02,2,0
745815,Q-Learning,-0.02,2,0
745852,Q-Learning,-0.02,2,0
745865,Q-Learning,0.152,4,2
745870,Q-Learning,-0.02,2,0
745871,Q-Learning,-0.02,2,0
745880,Q-Learning,0.29699999999999976,6,4
745884,Q-Learning,0.06099999999999991,3,1
745894,Q-Learning,-0.02,2,0
745897,Q-Learning,0.0649999999999999,3,1
745935,Q-Learning,-0.02,2,0
745940,Q-Learning,-0.02,2,0
745941,Q-Learning,0.374,3,1
745943,Q-Learning,-0.02,2,0
745952,Q-Learning,-0.02,2,0
745972,Q-Learning,0.5679999999999998,3,2
745975,Q-Learning,0.06099999999999991,3,1
745976,Q-Learning,-0.02,2,0
746021,Q-Learning,0.374,3,1
746026,Q-Learning,-0.02,2,0
746028,Q-Learning,0.060000000000000005,3,1
746029,Q-Learning,0.613,4,2
746046,Q-Learning,0.0639999999999999,3,1
746051,Q-Learning,-0.02,2,0
746062,Q-Learning,-0.02,2,0
746088,Q-Learning,0.173,3,1
746099,Q-Learning,-0.02,2,0
746100,Q-Learning,0.18299999999999988,3,1
746101,Q-Learning,-0.02,2,0
746117,Q-Learning,-0.02,2,0
746126,Q-Learning,-0.02,2,0
746185,Q-Learning,0.06099999999999991,3,1
746188,Q-Learning,-0.02,2,0
746189,Q-Learning,-0.02,2,0
746190,Q-Learning,0.06099999999999991,3,1
746192,Q-Learning,0.7969999999999999,4,2
746197,Q-Learning,-0.02,2,0
746201,Q-Learning,0.2999999999999999,5,3
746212,Q-Learning,0.23399999999999999,3,1
746224,Q-Learning,0.7989999999999998,6,4
746256,Q-Learning,-0.02,2,0
746259,Q-Learning,0.7729999999999999,7,5
746260,Q-Learning,0.1419999999999998,4,2
746267,Q-Learning,1.2129999999999999,6,4
746269,Q-Learning,0.06099999999999991,3,1
746270,Q-Learning,-0.02,2,0
746272,Q-Learning,-0.02,2,0
746292,Q-Learning,-0.02,2,0
746293,Q-Learning,-0.02,2,0
746295,Q-Learning,-0.02,2,0
746300,Q-Learning,0.16399999999999998,4,2
746305,Q-Learning,-0.02,2,0
746352,Q-Learning,-0.02,2,0
746355,Q-Learning,0.07200000000000001,3,1
746357,Q-Learning,-0.02,2,0
746360,Q-Learning,-0.02,2,0
746364,Q-Learning,-0.02,2,0
746367,Q-Learning,-0.02,2,0
746382,Q-Learning,-0.02,2,0
746384,Q-Learning,0.2749999999999999,5,3
746423,Q-Learning,-0.02,2,0
746427,Q-Learning,-0.02,2,0
746430,Q-Learning,-0.02,2,0
746434,Q-Learning,0.19399999999999998,3,1
746440,Q-Learning,1.17,6,5
746443,Q-Learning,0.253,3,1
746452,Q-Learning,-0.02,2,0
746459,Q-Learning,0.060000000000000005,3,1
746461,Q-Learning,-0.02,2,0
746466,Q-Learning,-0.02,2,0
746504,Q-Learning,0.07200000000000001,3,1
746512,Q-Learning,0.173,3,1
746514,Q-Learning,-0.02,2,0
746516,Q-Learning,0.3579999999999999,3,1
746529,Q-Learning,-0.02,2,0
746531,Q-Learning,0.253,3,1
746584,Q-Learning,-0.02,2,0
746601,Q-Learning,-0.02,2,0
746602,Q-Learning,-0.02,2,0
746605,Q-Learning,0.2379999999999998,5,3
746612,Q-Learning,-0.02,2,0
746620,Q-Learning,0.06099999999999991,3,1
746659,Q-Learning,0.1409999999999999,4,2
746662,Q-Learning,-0.02,2,0
746663,Q-Learning,0.2189999999999999,4,2
746678,Q-Learning,-0.02,2,0
746679,Q-Learning,-0.02,2,0
746687,Q-Learning,-0.02,2,0
746703,Q-Learning,0.06099999999999991,3,1
746707,Q-Learning,0.3149999999999999,4,2
746746,Q-Learning,-0.02,2,0
746752,Q-Learning,-0.02,2,0
746754,Q-Learning,-0.02,2,0
746756,Q-Learning,0.253,3,1
746761,Q-Learning,-0.02,2,0
746767,Q-Learning,0.06099999999999991,3,1
746769,Q-Learning,0.1529999999999999,4,2
746771,Q-Learning,-0.02,2,0
746772,Q-Learning,0.1409999999999999,4,2
746840,Q-Learning,-0.02,2,0
746846,Q-Learning,-0.02,2,0
746850,Q-Learning,0.243,3,1
746853,Q-Learning,0.11100000000000002,3,1
746865,Q-Learning,0.1419999999999998,4,2
746870,Q-Learning,-0.02,2,0
746872,Q-Learning,0.1419999999999998,4,2
746908,Q-Learning,-0.02,2,0
746924,Q-Learning,-0.02,2,0
746993,Q-Learning,-0.02,2,0
746997,Q-Learning,-0.02,2,0
747014,Q-Learning,0.0639999999999999,3,1
747024,Q-Learning,0.06099999999999991,3,1
747029,Q-Learning,0.704,3,1
747067,Q-Learning,-0.02,2,0
747072,Q-Learning,0.22199999999999998,4,2
747077,Q-Learning,-0.02,2,0
